Names
"Meet Reinette RossMeet Reinette Ross, our new Director of Operations for Year Up United’s Alumni Relations team, a 2010 YUNY graduate, and a true inspiration to those who know her. As a former bank teller, Reinette knew she wanted more from her career and discovered Year Up United through a friend. Her natural leadership abilities and determination led her to excel as a Year Up United student and eventually become the first alum to be promoted to anAssociate Director level role in Year Up United's history. Reinette is a mother, friend, and role model, showing others that with hard work, dedication, and belief in oneself, anything is possible. Her story is a testament to the power of owning your story and taking charge of your life to create your own success. Read her story.Read More"
"Alumni Resource GuideWith the current economic uncertainty, especially for those working within the tech space, there are a wealth of available resources from Year Up United and our partners whether you are working or job hunting. This blog covers what is currently available.Read More"
"Program Models At Year Up UnitedAs we continue to expand our efforts to enable more access to drive opportunity and greater impact to drive change, we are now operating five different program models, including three new ones: Career Accelerator, Accelerated Core, and Accelerated PTC.Read More"
"12th Annual Alumni Summit: Bridging the Gap, One Alum at a TimeWhile we wish we could bottle up the energy of the Summit and share it with you, we've instead crafted a reflective piece on our 12th Annual Alumni Summit in Dallas. Under the guiding theme of 'Bridging the Gap,' this year's summit transcended mere words to manifest real action, community service, and a unifying call for justice. Alumni took to the streets to serve food, create gardens, and more. If you missed the event, our blog post captures the energy, inspiration, and collective will that are shaping our journey forward. Read the full recap here.Read More"
"Embracing Growth and Opportunities in 2024: Resources for Year Up United AlumniWelcome to a New Year of Possibilities! As Year Up United Alumni, you have access to a wealth of resources and opportunities designed to foster personal and professional growth in 2024. In this comprehensive blog, we explore a variety of tools and programs tailored to help you achieve your aspirations.In this blog, we explore skilling up with leading platforms, professional development opportunities, entrepreneurship support, career advancement tools, community engagement, and prioritizing self-care.Read More"
"What's Your Alumni Love Language?As we celebrate the season of love, we're bringing a unique twist to the familiar concept of love languages, tailored just for our Year Up United community. This blog is your guide to deepening connections, amplifying your impACT, and nurturing your well-being, all within the our alumni network. Let's dive into each love language, exploring how they can transform our community and ourselves!Read More"
"Andre Carroll: Championing Community Love Through ActionAndre Carroll, a remarkable Year Up United alum from Philadelphia whose journey from the classroom to the heart of community service exemplifies the true spirit of ""Love Your Community."" Dive into Andre's story as we explore his transformative impact through eight ACTion Grants, touching the lives of over a thousand individuals with initiatives like the heartwarming Back to School Supply Drive and the compassionate Homeless Holiday Meal.Andre's dedication extends beyond acts of service; his leap into the political arena is fueled by a desire to advocate for the most vulnerable and foster systemic change. His story is a testament to the power of leadership, mentorship, and the unwavering belief in giving back to the community that nurtured him.Read More"
"Claire's Journey from Year Up United Graduate to Advocate and Nonprofit FounderDiscover the inspiring story of Claire, a Year Up United graduate from Boston, who has become a powerful advocate for women in need. In this blog, we explore how her experiences at Year Up United propelled her into leadership roles at Rosie’s Place and led to the creation of Project Amanda, a nonprofit dedicated to supporting mothers in shelters. Claire shares insights on balancing motherhood and a demanding career, leveraging Year Up United’s resources, and the importance of mental health and community support. Read on to learn more about Claire's impactful journey and how you can get involved in her mission to uplift and empower women.Read More"
"Get Inspired by Ebony’s StoryMeet Ebony Grayson: Football Coach, Mom, and the Creative Leader Behind the National Alumni SummitAs the National Alumni Association Events Committee Chair, Ebony Grayson is helping shape this year’s Summit with fresh ideas and a collaborative spirit. But her leadership doesn’t stop there—Ebony’s balancing life as a mom, youth football coach, and a doctoral student in Organizational Leadership, all while contributing her talents as a volunteer leader.Ebony’s journey shows how dedication and creativity can turn big goals into real impact, both in her community and within Year Up United. She’s proof that when you’re committed to growth and giving back, there’s no limit to what you can achieve.Read More"
"Celebrating Women's History Month With Alumna Activist Khennedi MeeksSo who is Khennedi Meeks? She’ll tell you that she’s a gamer, a hip hop dancer who loves to roller skate, a music lover, and a student of technology. What she’s most proud to tell you that defines her is that she's an activist.Read More"
"Kenneth C. Frazier is the Executive Chairman of Merck’s board of directorsKenneth C. Frazier is the Executive Chairman of Merck’s board of directors, a role he began in July 2021, following his retirement from a decade-long tenure as Merck’s President and Chief Executive Officer.Read More"
"Advance Your Education:Advance Your Education:In this session, we highlight the importance of continued education after you graduate, both via college and other forms of training and certification. You’ll learn about our Free College partnership, which offers free on-line Associate’s and Bachelor’s degrees, and other free training resources, such as Pluralsight and IBM Skills Build, which can help you skill up for your next step.Click Here to watch the recordings.Read More"
